JOB ID          REPLACED PAGE   PLACED PAGE     FRAME           STATUS          
6               0               2               20              NR:NM           
17              0               2               24              NR:NM           
1               1               3               0               NR:NM           
6               5               1               5               NR:NM           
17              5               1               11              NR:NM           
3               1               18              28              NR:NM           
3               7               16              17              NR:NM           
6               8               5               32              NR:NM           
3               13              5               43              NR:NM           
3               17              9               2               NR:NM           
6               1               0               5               NR:NM           
3               5               4               43              NR:NM           
6               5               8               32              NR:NM           
6               0               7               5               NR:NM           
3               9               15              2               NR:NM           
3               18              0               28              NR:NM           
6               2               6               20              NR:M            
8               6               17              22              NR:NM           
8               10              12              61              NR:NM           
6               7               4               5               NR:NM           
3               15              13              2               NR:NM           
8               14              27              50              NR:NM           
6               6               5               20              NR:M            
8               12              23              61              NR:NM           
3               0               5               28              NR:M            
1               10              11              16              NR:NM           
17              8               5               36              NR:NM           
10              1               4               45              NR:NM           
10              5               32              9               NR:NM           
8               15              13              7               NR:NM           
6               4               7               5               R:NM            
1               3               7               0               NR:NM           
10              4               31              45              NR:NM           
8               16              6               34              NR:NM           
6               5               3               20              NR:M            
10              20              7               39              NR:NM           
8               13              12              7               NR:NM           
6               7               6               5               NR:NM           
1               11              6               16              NR:NM           
10              25              12              67              NR:NM           
3               13              12              2               NR:NM           
8               6               16              34              NR:NM           
3               4               18              43              NR:M            
6               3               0               20              NR:NM           
1               7               3               0               NR:M            
3               12              9               2               NR:NM           
9               14              0               63              NR:NM           
10              7               6               39              NR:NM           
8               12              0               7               NR:NM           
6               6               9               5               NR:NM           
10              12              42              67              NR:NM           
3               18              13              43              NR:NM           
9               17              21              8               NR:NM           
10              31              18              45              NR:NM           
8               16              7               34              NR:NM           
8               0               25              7               NR:NM           
10              35              9               33              NR:NM           
3               5               12              28              NR:M            
10              18              40              45              NR:NM           
2               5               4               1               NR:NM           
9               18              6               14              NR:NM           
10              9               25              33              NR:NM           
8               7               11              34              NR:NM           
3               9               14              2               NR:M            
9               19              11              88              NR:NM           
10              36              12              21              NR:NM           
8               21              7               46              NR:NM           
2               15              32              101             NR:NM           
3               12              7               28              NR:NM           
10              25              16              33              NR:NM           
9               6               10              14              NR:NM           
8               11              3               34              NR:NM           
9               20              41              80              NR:NM           
2               4               31              1               NR:NM           
7               2               85              48              NR:NM           
8               7               0               46              NR:NM           
10              38              7               49              NR:NM           
7               4               44              29              NR:NM           
8               3               13              34              NR:NM           
3               14              4               2               NR:NM           
9               10              15              14              NR:NM           
9               22              37              25              NR:NM           
10              12              0               21              NR:NM           
8               0               7               46              NR:NM           
7               6               27              44              NR:NM           
10              7               10              49              NR:NM           
9               15              25              14              NR:NM           
3               7               19              28              NR:NM           
10              0               43              21              NR:NM           
8               23              33              61              NR:NM           
23              4               9               112             NR:NM           
9               29              30              86              NR:NM           
23              22              16              111             NR:NM           
23              9               5               112             NR:NM           
23              16              28              111             NR:NM           
9               25              27              14              NR:NM           
23              5               23              112             NR:NM           
8               7               4               46              NR:NM           
23              25              1               117             NR:NM           
23              23              3               112             NR:NM           
7               11              58              98              NR:NM           
8               25              7               7               NR:NM           
10              10              21              49              NR:NM           
9               30              18              86              NR:NM           
8               4               19              46              NR:NM           
23              1               18              117             NR:NM           
7               15              11              51              NR:NM           
9               34              7               75              NR:NM           
10              40              7               45              NR:NM           
8               7               4               7               NR:NM           
9               18              6               86              NR:NM           
10              41              9               52              NR:NM           
23              3               33              112             NR:NM           
7               25              19              53              NR:NM           
9               7               1               75              NR:NM           
9               6               15              86              NR:NM           
10              7               23              45              NR:NM           
9               1               20              75              NR:NM           
9               15              6               86              NR:NM           
7               11              42              51              NR:NM           
23              18              25              117             NR:NM           
17              1               0               11              NR:M            
9               20              19              75              NR:NM           
10              42              29              67              NR:NM           
1               6               10              16              NR:NM           
9               6               9               86              NR:NM           
8               19              5               46              NR:NM           
9               19              32              75              NR:NM           
11              1               18              76              NR:NM           
9               9               29              86              NR:NM           
10              23              30              45              NR:NM           
9               32              25              75              NR:NM           
9               29              30              86              NR:NM           
9               25              2               75              NR:NM           
23              26              13              108             NR:NM           
17              5               8               36              NR:NM           
7               19              48              53              NR:NM           
11              5               3               10              NR:NM           
9               30              17              86              NR:NM           
10              29              5               67              NR:NM           
22              1               18              123             NR:NM           
8               4               20              7               NR:NM           
7               27              75              44              NR:NM           
